snapshot_date,rows,orders_a,orders_b,missing_in_b,missing_in_a,any_mismatch,hard_issue,warning,has_issue,issue_rate,hard_issue_rate,warning_rate,mismatch_rate,missing_in_b_rate
2026-01-27,1835,1783,1185,650,52,0,681,707,803,0.4376021798365123,0.37111716621253404,0.38528610354223436,0.0,0.3645541222658441
2026-01-28,1835,1783,1185,650,52,0,681,707,803,0.4376021798365123,0.37111716621253404,0.38528610354223436,0.0,0.3645541222658441
2026-01-29,1835,1783,1185,650,52,0,681,707,803,0.4376021798365123,0.37111716621253404,0.38528610354223436,0.0,0.3645541222658441
